MONTH,FIPS,SALES_SUM_MONTH,IS_HOLIDAY_MAX_MONTH,WEB_MIN_MONTH,WEB_MEAN_MONTH,WEB_MAX_MONTH,EMAIL_MIN_MONTH,EMAIL_MEAN_MONTH,EMAIL_MAX_MONTH,TV_MIN_MONTH,TV_MEAN_MONTH,TV_MAX_MONTH,RADIO_MIN_MONTH,RADIO_MEAN_MONTH,RADIO_MAX_MONTH,PRINT_MIN_MONTH,PRINT_MEAN_MONTH,PRINT_MAX_MONTH,MSRP_MEAN_MONTH,AVG_PRICE_MEAN_MONTH,INVENTORY_SUM_MONTH,INVENTORY_MIN_MONTH,INVENTORY_MEAN_MONTH,INVENTORY_MAX_MONTH,OUT_OF_STOCK_MAX_MONTH,BASKETBALL_MIN_MONTH,BASKETBALL_MEAN_MONTH,BASKETBALL_MAX_MONTH,FOOTBALL_MIN_MONTH,FOOTBALL_MEAN_MONTH,FOOTBALL_MAX_MONTH,BASEBALL_MIN_MONTH,BASEBALL_MEAN_MONTH,BASEBALL_MAX_MONTH,HOCKEY_MIN_MONTH,HOCKEY_MEAN_MONTH,HOCKEY_MAX_MONTH
2018-01-01,1073,652,1,23,23.0,23,8,8.0,8,22,22.0,22,-4,-4.0,-4,-2,-2.0,-2,105,90.0,948,948,948.0,948,0,45,45.0,45,51,51.0,51,20,20.0,20,97,97.0,97
2018-02-01,1073,3164,0,7,27.5,46,10,28.5,48,0,5.0,20,0,4.5,18,0,10.25,41,110,108.625,5408,937,1352.0,1748,0,46,47.0,48,13,19.25,31,23,26.75,31,29,30.0,31
2018-03-01,1073,3322,0,6,20.75,46,7,23.25,36,0,2.25,9,0,8.0,32,0,5.5,22,110,110.0,5247,878,1311.75,1759,0,47,52.75,60,9,11.25,17,32,44.75,55,33,61.25,100
2018-04-01,1073,3445,0,6,19.5,45,12,19.25,31,0,0.0,0,0,0.0,0,0,0.0,0,110,108.625,7692,1487,1923.0,2343,0,49,75.25,100,8,8.75,9,56,62.75,77,25,30.5,35
2018-05-01,1073,4427,0,11,28.2,47,8,21.6,35,0,17.0,46,0,11.6,35,0,15.6,46,110,110.0,7508,1040,1501.6,2056,0,13,18.2,37,9,9.8,11,71,73.8,78,21,27.4,37
2018-06-01,1073,3419,1,2,28.5,49,11,25.0,39,0,8.75,35,0,4.5,18,0,6.5,26,110,110.0,5031,840,1257.75,1740,1,12,13.25,15,9,9.0,9,75,81.75,89,19,20.25,22
2018-07-01,1073,3508,0,6,18.5,36,8,22.5,47,0,12.0,44,0,7.75,29,0,18.75,42,110,108.625,7526,1431,1881.5,2318,1,10,11.75,14,10,11.0,12,69,84.5,100,12,15.0,24
2018-08-01,1073,4342,1,9,20.4,35,3,24.6,49,0,1.2,6,0,2.0,10,0,5.2,26,110,108.9,7578,1050,1515.6,2071,0,10,10.6,11,12,15.2,21,46,47.6,49,10,11.2,12
2018-09-01,1073,3991,0,-8,13.5,25,-22,-5.25,3,-16,4.25,15,-17,3.0,24,-21,-2.25,13,110,99.0,7047,1249,1761.75,2241,0,9,9.5,10,25,44.5,80,36,39.75,41,12,12.75,14
2018-10-01,1073,4312,1,3,24.2,47,19,27.8,44,0,0.0,0,0,0.0,0,0,0.0,0,110,106.7,6275,821,1255.0,1800,0,9,10.0,11,81,86.6,100,32,35.8,45,15,19.0,24
2018-11-01,1073,3318,0,13,23.25,36,2,19.25,43,0,0.0,0,0,0.0,0,0,0.0,0,110,110.0,7922,1554,1980.5,2393,1,12,16.0,20,72,75.0,78,30,37.25,41,26,27.25,29
2018-12-01,1073,4100,2,-24,-13.5,-2,5,8.25,11,-22,-6.5,7,-19,6.5,18,-19,2.5,22,110,95.46428571428571,6849,1239,1712.25,2370,0,37,41.25,46,60,70.0,82,19,20.25,21,27,28.0,29
